,Date,DOY,U,Ta,RH min,ETo,hc,growth_stage,Rz,TAW,MAD,RAW,dMAD,Kcb_daily,Kcmax,TEW,REW,fc,few,Precip,Irr,Di_start,Kr,Ke,fewKcmax,Ks,Kco,KeETo,ETa,DP,Di_end,irrigate
37,2005-06-21,172,1.1,26.71,46.44,5.35,0.48,dev,0.5199999999999999,47.112,0.5,23.556,23.556,0.6250000000000001,1.1758453478448514,12,7,0.3849094097325338,0.6150905902674662,0.0,0.0,2.840080908398731,1.0,0.5508453478448513,0.7232514090691438,1.0,1.1758453478448514,2.947022610969954,6.290772610969954,0.0,9.130853519368685,not yet
38,2005-06-22,173,1.07,28.38,41.97,5.6,0.5,dev,0.5299999999999999,48.01800000000001,0.5,24.009000000000004,24.009000000000004,0.6529411764705882,1.1854933267229135,12,7,0.4054733929252482,0.5945266070747518,0.0,0.0,9.130853519368685,0.573829296126263,0.3055940255298197,0.7048073252463339,1.0,0.9585352020004079,1.7113265429669902,5.367797131202284,0.0,14.49865065057097,not yet
39,2005-06-23,174,1.08,29.34,40.47,5.6,0.52,dev,0.5399999999999999,48.92400000000001,0.5,24.462000000000003,24.462000000000003,0.6808823529411765,1.1891951891221701,12,7,0.4290021450446539,0.570997854955346,0.0,12.9,14.49865065057097,0.0,0.0,0.6790279021119763,1.0,0.6808823529411765,0.0,3.8129411764705883,0.0,5.411591827041557,not yet
40,2005-06-24,175,1.22,32.44,36.2,5.77,0.54,dev,0.5499999999999999,49.830000000000005,0.5,24.915000000000003,24.915000000000003,0.7088235294117647,1.2023136639995353,12,7,0.4476251013370901,0.5523748986629099,0.0,0.0,5.411591827041557,1.0,0.4934901345877706,0.6641278883127752,1.0,1.2023136639995353,2.847438076571436,6.937349841277318,0.0,12.348941668318876,not yet
41,2005-06-25,176,1.1,35.48,36.59,5.77,0.55,dev,0.5599999999999999,50.736000000000004,0.5,25.368000000000002,25.368000000000002,0.7367647058823531,1.1986349382402741,12,7,0.4769749443473134,0.5230250556526865,0.0,0.0,12.348941668318876,0.0,0.0,0.6269161052803739,1.0,0.7367647058823531,0.0,4.251132352941177,0.0,16.600074021260053,not yet
42,2005-06-26,177,1.17,36.98,38.86,6.02,0.57,dev,0.57,51.64200000000001,0.5,25.821000000000005,25.821000000000005,0.7647058823529412,1.1950024857610038,12,7,0.5056753788914166,0.49432462110858344,0.0,0.0,16.600074021260053,0.0,0.0,0.5907191509976235,1.0,0.7647058823529412,0.0,4.603529411764706,0.0,21.20360343302476,not yet
43,2005-06-27,178,1.24,38.36,34.6,6.02,0.59,dev,0.58,52.54800000000001,0.5,26.274000000000004,26.274000000000004,0.7926470588235295,1.2064782591986989,12,7,0.5253212731349942,0.4746787268650058,0.0,12.9,21.20360343302476,0.0,0.0,0.5726895640667469,1.0,0.7926470588235295,0.0,4.771735294117647,0.0,13.075338727142407,not yet
44,2005-06-28,179,1.23,35.35,32.3,6.27,0.61,dev,0.59,53.45400000000001,0.5,26.727000000000004,26.727000000000004,0.8205882352941177,1.2115683199976766,12,7,0.5491145031855773,0.4508854968144227,0.0,16.7,13.075338727142407,0.0,0.0,0.5462785838867679,1.0,0.8205882352941177,0.0,5.145088235294118,0.0,1.5204269624365274,not yet
45,2005-06-29,180,0.9,20.2,93.0,1.0,0.62,dev,0.6,54.360000000000014,0.5,27.180000000000007,27.180000000000007,0.8485294117647059,1.0634938240274172,12,7,0.7036514657177012,0.2963485342822988,19.1,0.0,1.5204269624365274,1.0,0.21496441226271135,0.31516483596880207,1.0,1.0634938240274172,0.21496441226271135,1.0634938240274172,16.516079213536056,0.0,not yet
46,2005-06-30,181,1.25,35.0,35.41,5.5,0.64,dev,0.6099999999999999,55.266000000000005,0.5,27.633000000000003,27.633000000000003,0.8764705882352942,1.2048355577590288,12,7,0.6112289602972854,0.38877103970271465,0.0,17.5,0.0,1.0,0.3283649695237346,0.46840517246077773,1.0,1.2048355577590288,1.8060073323805403,6.626595567674658,10.87340443232534,0.0,not yet
